340.9	46.1	70.4	51.9	119.0	61.3
35.9	63.4	90.6	21	119.0	61.3
8.4	64.5	90.2	33.1	119.0	61.3
355.7	28.6	44.7	40.4	119.0	61.3
16.8	25.6	47.7	21.5	119.0	61.3
357.1	36.8	55.7	40.5	119.0	61.3
354.7	39.9	59.7	42.6	119.0	61.3
359.8	29.8	47.4	37	119.0	61.3
5.1	59.5	313.1	66.5	223.9	23.3
6	52.8	325.9	62.9	223.9	23.3
353.1	17.1	343	27.5	223.9	23.3
7.7	38.9	344.1	52.7	223.9	23.3
358.7	39	334.8	49	223.9	23.3
14.2	23.5	1.9	41.5	223.9	23.3
350.1	43	323.1	48.5	223.9	23.3
17.4	40.5	354	57.9	223.9	23.3
32.8	46	9.6	68.4	223.9	23.3
11.8	44.8	343.5	59.1	223.9	23.3
28.6	43.5	6.2	64.6	223.9	23.3
355.3	35	334.9	43.8	223.9	23.3
353.7	59.4	305.5	61.8	223.9	23.3
357.6	22.4	344.7	33.2	223.9	23.3
336.9	40.4	314.2	40.9	223.9	23.3
344.5	48.9	313	50.1	223.9	23.3
357.6	69.8	284.9	67.7	223.9	23.3
344.8	46.1	315.7	48.6	223.9	23.3
343.5	33.8	324.7	37.7	223.9	23.3
9.6	42.4	343.2	56.1	223.9	23.3
10	50	334	62.4	223.9	23.3
359	48.4	339.3	63.9	220.7	22.6
343.5	46	322	57.1	220.7	22.6
340.4	55.9	307.8	64.5	220.7	22.6
6.9	55.5	343.2	72.4	220.7	22.6
352	60.2	313.2	71.7	220.7	22.6
358.3	58.6	324.3	72.4	220.7	22.6
347.2	59.3	309.5	69.4	220.7	22.6
3	57.5	333.4	73	220.7	22.6
0.1	55.4	332.6	70.4	220.7	22.6
358.4	60.1	321.4	73.7	220.7	22.6
341	54.1	310.8	63.2	220.7	22.6
359.8	53.2	335.5	68.2	220.7	22.6
343	22	334.5	34.6	220.7	22.6
0.5	55.4	333.1	70.5	220.7	22.6
9	59.1	340.3	76	220.7	22.6
7.2	45.3	353.4	62.9	220.7	22.6
18	57.5	1.9	76.6	220.7	22.6
351.3	54.4	322.3	66.8	220.7	22.6
345.9	59.4	308.3	69.1	220.7	22.6
337.6	66	286.1	70.6	220.7	22.6
4.7	67.4	303.9	80.5	220.7	22.6
4.6	64.1	318.5	78.6	220.7	22.6
4.2	62.3	324	77.2	220.7	22.6
5.1	59.7	332.3	75.3	220.7	22.6
3.8	62.1	323.8	76.9	220.7	22.6
